playerID,playerName,gamesPlayed,gamesStarted,inningsPitched,strikes,strikeOuts,doubles,triples,walks,hits,earnedRuns,homeRuns,ERA
542960,Brad Brach,27,0,23.2,275,22,2,1,9,22,4,1,1.52
656977,Chad Sobotka,14,0,14.1,145,21,1,0,9,5,3,2,1.88
527055,Arodys Vizcaíno,39,0,38.1,411,40,8,0,15,30,9,4,2.11
434671,Aníbal Sánchez,25,24,136.2,1373,135,21,2,42,106,43,15,2.83
592314,Mike Foltynewicz,31,31,183.0,1916,202,25,5,68,130,58,17,2.85
641438,Shane Carle,53,0,63.0,615,43,15,0,27,50,20,2,2.86
592332,Kevin Gausman,10,10,59.2,607,44,9,1,18,50,19,5,2.87
608331,Max Fried,14,5,33.2,346,44,3,1,20,26,11,3,2.94
592145,Jesse Biddle,60,0,63.2,641,67,9,0,31,50,22,6,3.11
621345,A.J. Minter,65,0,61.1,671,69,9,1,22,57,22,3,3.23
595465,Dan Winkler,69,0,60.1,656,69,13,2,20,52,23,3,3.43
647336,Michael Soroka,5,5,25.2,258,21,10,0,7,30,10,1,3.51
458924,Jonny Venters,28,0,20.1,185,16,3,0,10,15,8,0,3.54
656794,Sean Newcomb,31,30,164.0,1786,160,21,4,81,137,71,18,3.90
527054,Julio Teheran,31,31,175.2,1713,162,25,4,84,122,77,26,3.94
657053,Touki Toussaint,7,5,29.0,276,32,7,0,21,18,13,1,4.03
518693,Sam Freeman,63,0,50.1,536,58,7,0,32,41,24,3,4.29
592426,Luke Jackson,35,0,40.2,442,46,10,1,21,41,20,3,4.43
493247,Peter Moylan,39,0,28.1,321,23,4,0,18,32,14,4,4.45
657140,Kyle Wright,4,0,6.0,66,5,0,0,6,4,3,2,4.50
435221,Brandon McCarthy,15,15,78.2,815,65,15,1,21,94,43,15,4.92
605538,Matt Wisler,7,3,26.2,262,21,7,1,5,30,16,6,5.40
627894,Luiz Gohara,9,1,19.2,196,18,4,1,8,16,13,3,5.95
502051,Josh Ravin,2,0,3.0,30,1,1,0,2,2,2,0,6.00
669060,Bryse Wilson,3,1,7.0,84,6,4,0,6,8,5,0,6.43
641149,Wes Parsons,1,0,5.0,45,3,1,0,3,6,4,1,7.20
608371,Lucas Sims,6,0,10.1,112,10,2,0,8,12,9,2,7.84
623465,Evan Phillips,4,0,6.1,65,3,1,0,4,6,6,3,8.53
518586,Charlie Culberson,1,0,1.0,7,0,1,0,0,2,1,0,9.00
462515,Miguel Socolovich,4,0,5.0,62,4,3,1,2,8,6,0,10.80
663465,Kolby Allard,3,1,8.0,95,3,2,0,4,19,11,3,12.38
542432,José Ramirez,7,0,6.1,88,7,4,0,8,9,12,0,17.05
607030,Adam McCreery,1,0,1.0,19,2,0,0,0,4,2,0,18.00
595032,Chase Whitley,1,0,1.0,12,1,1,0,1,2,2,1,18.00
571521,Rex Brothers,1,0,0.0,4,0,0,0,2,0,1,0,-.--
